"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","cfa04927","Cortisol synthesis and secretion","60/7472","63/9973",0.952380952380952,1.27115835627613,3.73172095060091,2.08749196450719e-05,4.85661395824123e-05,8.81933590447006e-06,"485773/477160/487289/607357/482994/403897/403943/403859/490244/403516/483146/479975/486628/476034/474503/475266/100683160/481746/486507/485046/486241/478624/488939/475588/488171/478806/488752/474855/490031/403533/415124/403783/403836/403914/403928/478365/403556/611934/100855756/486261/484724/609708/477625/100856190/483636/485427/477807/480271/490295/488669/491369/607922/480915/482045/491083/612303/482071/481243/403659/476548",60
"Organismal Systems","Endocrine system","cfa04924","Renin secretion","66/7472","70/9973",0.942857142857143,1.25844677271337,3.75050254536229,2.20348400383375e-05,5.09183465750773e-05,9.24648337312884e-06,"403486/612559/485773/477160/403943/403424/403859/490244/403732/403516/479975/486628/608289/476034/475272/481746/450187/442957/609027/479248/611810/403508/486077/553102/478227/480416/403589/403652/403717/442979/403783/403797/403836/610668/403838/403910/403928/403984/607433/403556/478351/102153034/100856025/486261/482663/484724/100855930/477625/100856190/403961/403406/610836/607922/479455/480915/490455/607269/612508/490178/612510/474584/482386/485435/493972/487146/476548",66
"Human Diseases","Infectious disease: viral","cfa05164","Influenza A","141/7472","160/9973",0.88125,1.17621871654176,3.88386250137453,2.3715679815451e-05,5.44346476300955e-05,9.88502373091916e-06,"403580/100856468/489968/442952/476688/478585/100683675/100170671/100856077/442859/449021/487314/480469/442964/100856339/403417/476822/485942/491743/480291/611694/492093/478347/476966/474609/403602/480545/487739/489370/609956/490904/442934/474681/478432/484185/476452/100856347/490310/477024/474860/481732/476412/486469/484648/480129/478950/100855877/609830/607899/612945/480361/611262/477085/611619/487432/100174780/403522/607827/481131/608778/481111/611939/483780/403523/403567/482620/403957/477575/403634/403850/403974/403985/403744/403782/403810/475258/403975/403977/403981/475521/403801/442949/403796/480830/487235/442968/477132/403922/474869/481731/106559223/475630/490008/482839/100855560/488371/479866/475923/611397/485789/482905/611051/477490/481145/477796/486601/403745/487770/490576/488084/488473/489387/483729/607786/491441/100686744/484094/489859/489863/481744/100684945/100855668/403976/491103/492024/476714/487641/490867/490878/100049001/489644/608847/481558/100686162/611406/609920/611678/609005/483832/483307/484519",141
"Human Diseases","Endocrine and metabolic disease","cfa04930","Type II diabetes mellitus","45/7472","46/9973",0.978260869565217,1.30570070291407,3.59185720509847,2.71766004629793e-05,6.19626490555929e-05,1.1252066156602e-05,"474652/478232/100856339/403516/479577/609956/484990/494005/493994/485402/485401/485548/477746/483665/100855877/477085/403673/478464/477575/479234/403625/442949/403874/487235/403922/100687271/490425/482839/480660/100855737/100856448/484724/486148/488084/490305/489019/488165/489096/100686650/491083/492059/490006/489644/609934/606490",45
"Organismal Systems","Endocrine system","cfa04917","Prolactin signaling pathway","65/7472","69/9973",0.942028985507246,1.25734141762095,3.70750409363943,2.7860583664146e-05,6.3101454391642e-05,1.14588667562538e-05,"474652/442859/474581/449021/485864/442964/100856339/474751/100855872/403856/490969/481954/478347/403872/490439/609956/488241/449028/483312/100856303/403639/403871/484185/490967/484648/477746/483665/478575/100855877/403483/490968/477085/476352/611782/611939/478464/477575/403444/403640/403644/403735/442949/487235/100687271/490792/100855737/483957/608908/484757/477807/488084/607023/483729/490682/487546/488165/491039/490878/479363/490006/612821/489644/481365/606490/609418",65
"Human Diseases","Infectious disease: parasitic","cfa05146","Amoebiasis","92/7472","101/9973",0.910891089108911,1.21578116055717,3.76724928205132,3.06807030266231e-05,6.9031581809902e-05,1.25357443114319e-05,"403651/489968/442859/485773/475882/477160/607357/100856339/403417/403943/403824/488610/100855712/479975/481330/479354/442939/480173/102156629/475034/479555/403843/478835/403840/476626/476034/609956/403496/490904/480672/403841/484526/480034/448807/479252/474394/403466/608848/488608/480369/100683420/477085/475108/403567/488596/403850/403974/403985/403770/403822/403842/403845/403914/403923/403928/403628/403941/403977/403979/404007/404008/403801/442953/487235/475375/490796/491290/403922/607076/478699/403556/474823/480364/483955/483951/100856190/488576/488084/100174779/488609/106559147/442954/483729/489928/403976/607658/485063/489644/484156/481328/100855828/483260",92
"Cellular Processes","Cellular community - eukaryotes","cfa04540","Gap junction","81/7472","88/9973",0.920454545454545,1.22854566137824,3.72201998875496,3.43264381822051e-05,7.67296853484586e-05,1.39336763175102e-05,"489968/478918/442860/485773/477160/487289/474830/607357/478701/485864/403418/482994/403943/403859/479975/478347/403872/106557476/485950/486628/476034/478702/490904/479460/481746/450240/491597/483312/403871/442957/609616/484648/478624/100855877/475928/102154194/611810/100856079/611939/553102/477575/490031/612902/478227/403657/403735/403752/403881/403882/403914/403928/404306/442985/442986/403556/485146/484024/474800/482666/487477/482663/100856405/100855930/477625/100856190/100855995/480271/403701/490682/479455/610636/486762/482045/489110/609559/489532/100855828/485435/493972/487148/476548",81
"Human Diseases","Substance dependence","cfa05031","Amphetamine addiction","64/7472","68/9973",0.941176470588235,1.25620355208465,3.66408115091597,3.51976980969379e-05,7.81663165529401e-05,1.41945604081978e-05,"489968/403486/612559/403450/403943/403859/403516/479975/403451/474503/475266/490904/485046/494009/494007/487309/482687/609027/610764/479248/608394/478806/403558/474855/475035/480416/403444/403557/606852/403556/611934/474789/490792/612941/478351/489427/102153034/485808/100684140/484724/482667/483636/486138/609304/486908/100855965/489012/491369/607922/489050/489110/612303/489168/492110/609429/490012/607269/485092/474584/100855828/484445/484405/483302/487146",64
"Human Diseases","Drug resistance: antineoplastic","cfa01524","Platinum drug resistance","69/7472","74/9973",0.932432432432432,1.24453274205683,3.6493031015749,4.25220684386754e-05,9.38228864904967e-05,1.70377048413029e-05,"474915/100683675/477019/449021/403416/477044/481623/442964/479450/479875/474890/100856339/477814/476078/479912/486404/611694/403437/476215/481678/100686488/609956/100856518/403869/442936/494002/403632/486469/489433/477683/480525/100855877/479464/477085/487432/403523/403567/482620/479164/477575/403883/475258/487235/442989/406185/442968/477556/474939/476006/609050/610304/403693/403618/476005/479911/612282/477813/488084/488473/483763/481744/490878/489644/481841/474938/477558/474585/481963/612153",69
"Metabolism","Lipid metabolism","cfa00071","Fatty acid degradation","43/7472","44/9973",0.977272727272727,1.30438181331516,3.49739756649137,4.65648125619049e-05,0.00010208439677033,1.85379483208663e-05,"403583/477856/609781/610941/485024/476696/478991/481486/475366/610385/478927/477517/100685915/489421/100856745/489585/475631/480828/489463/490207/478487/477820/610267/100856533/478506/481184/100856778/484063/483322/490059/481620/478706/490568/478895/477023/479067/100688308/476732/474670/481018/488110/488790/607926",43
"Human Diseases","Infectious disease: bacterial","cfa05100","Bacterial invasion of epithelial cells","74/7472","80/9973",0.925,1.23461255353319,3.64153892061103,4.8270346771076e-05,0.000105149417807057,1.90945387830606e-05,"403580/485217/478439/611857/490341/480037/491319/487886/475024/475549/484671/485864/100856339/403980/479745/612913/487343/100684969/491949/477568/403438/490439/609956/486934/486493/475294/483808/489104/479252/612856/486299/474698/106560075/474928/489647/477085/403954/475213/474677/476352/481396/475108/610283/484949/483339/442858/403702/403845/100856559/477032/612892/487235/403955/479744/476836/100688231/475923/483088/482639/100856747/488084/489369/489008/478907/487546/608125/481227/487443/489900/480578/100684309/489644/489763/477956",74
"Human Diseases","Cancer: overview","cfa05202","Transcriptional misregulation in cancer","162/7472","187/9973",0.866310160427808,1.15627826953246,3.72880362268297,5.51228875973254e-05,0.00011931663011573,2.16672243054111e-05,"480522/487760/479515/442859/479077/608366/477039/479450/474890/480472/491278/474619/477598/100855728/480526/477295/609969/403426/477966/102156419/403429/481330/482372/403438/403439/491135/483626/479155/609786/403869/486507/448804/442951/449531/491597/487309/477302/607083/403462/489398/489188/403469/479417/489433/480723/403727/480879/478989/476126/479464/477127/100856381/475108/488770/483758/611782/480171/475359/403523/415126/475035/479793/403445/403885/403641/403850/403985/403764/403923/403924/403927/610255/480110/100686903/487044/474922/482978/485023/490079/477804/607076/477910/403693/403618/491872/487819/475916/475246/482594/481735/488124/485958/486025/100683573/481497/609253/608175/475456/486073/486545/611255/486564/487501/479180/100683405/487746/478549/608311/488574/488575/487770/489286/490607/483172/100855619/486180/490630/479221/488669/483729/486685/607474/491845/488816/612524/487408/490719/490720/481744/488544/488836/490404/610063/489928/489123/491071/609986/612476/487641/478372/492110/485069/485073/481764/485079/442980/100855805/481556/475223/484198/612021/100684628/482373/100683897/474606/607439/612328/483845/487097/403606/482840/475925",162
"Metabolism","Amino acid metabolism","cfa00280","Valine, leucine and isoleucine degradation","49/7472","51/9973",0.96078431372549,1.28237445941974,3.49432753052688,6.28613105396935e-05,0.000135211120783492,2.45535737957095e-05,"477856/477076/610941/479344/474978/478991/481486/607923/477517/489421/100856745/478091/612589/480828/100855521/476975/490207/479347/484488/100856316/490779/610267/481852/478506/484394/474930/476348/479610/484063/481620/479018/479856/490568/480930/477023/100688308/403978/486633/607040/479386/608849/488467/478645/488110/100683704/479929/482436/484371/607926",49
"Organismal Systems","Immune system","cfa04621","NOD-like receptor signaling pathway","143/7472","164/9973",0.871951219512195,1.16380748289549,3.65591436428972,7.32298654985625e-05,0.000156528837503177,2.84247504237841e-05,"607687/474519/100856468/609605/612919/474652/442952/487821/474636/442859/485773/485818/477160/403416/479619/403417/479479/403856/480291/606963/611694/479458/486628/476034/489370/481746/442934/474681/478274/484028/494005/612601/609395/100135059/488622/100856347/488086/100856398/490310/477649/487439/477024/476412/100856598/489433/477746/478950/490172/480259/100855877/609830/480645/480673/100856182/607899/480008/479464/403954/477936/489664/403522/489042/608778/481111/486077/478464/475829/612642/477575/479646/474919/480438/608092/610868/403850/403974/403985/403724/403981/403796/442989/442947/479732/403922/491825/611659/489522/403618/479255/482839/477201/474798/485789/483394/100688110/448778/484006/611051/477490/100856190/102152063/481145/477796/486601/487286/490576/100684769/100856408/477412/488007/480019/488473/608486/607023/606863/483729/491807/484095/478300/489449/607226/476714/611757/490867/100688481/609429/481245/612821/607492/490170/490174/475122/481558/100686162/611406/100855742/482382/102156745/484411/607532/484519/606815/476548",143
"Human Diseases","Drug resistance: antineoplastic","cfa01521","EGFR tyrosine kinase inhibitor resistance","77/7472","84/9973",0.916666666666667,1.22348991791577,3.55528246815144,7.95649847755215e-05,0.00016797052341499,3.05024957878867e-05,"489968/485874/442952/478232/442860/449021/403416/485864/442964/100856339/480618/475590/491857/481954/612271/612867/403431/480580/478347/403872/403438/490439/609956/490904/479460/483808/442951/491597/483312/607745/403871/484185/487870/490967/484648/478575/100855877/477085/476352/489692/611939/403523/477575/403657/403985/403802/403735/415125/403832/403857/403883/610255/404306/442985/442986/487235/484490/481105/403618/482861/482666/403441/474722/488084/610499/490682/483763/488146/487546/488808/489099/490878/489644/482154/100855828/475526/487158",77
"Organismal Systems","Immune system","cfa04658","Th1 and Th2 cell differentiation","77/7472","84/9973",0.916666666666667,1.22348991791577,3.55528246815144,7.95649847755215e-05,0.00016797052341499,3.05024957878867e-05,"479122/478013/403486/485874/474652/612559/442952/100856077/442859/403856/480291/490969/102156419/483925/485116/487134/403439/487739/489957/485769/100142679/481457/479678/484185/609027/474860/481732/611571/477746/478151/479248/100855877/490968/607827/478464/477575/403790/403931/403851/403870/403977/442981/403785/403801/479419/474869/481731/403989/482839/490792/607575/477796/485892/483148/485930/607023/489383/483729/607786/442990/484828/610004/610439/491044/403976/607947/476714/490882/489550/609429/612821/480676/102155642/100271860/100688936/484508/484519",77
"Environmental Information Processing","Signal transduction","cfa04350","TGF-beta signaling pathway","101/7472","113/9973",0.893805309734513,1.19297649277065,3.56580749947501,9.27536268124339e-05,0.000194611904109524,3.53404196443888e-05,"479515/489077/477039/474682/484335/486537/486506/611243/485857/474494/487628/478484/481628/475830/478293/479444/480580/607768/492281/481520/608821/486507/106558270/476196/487309/476140/480470/488560/475512/477071/403703/100855877/487635/475352/403954/488159/487486/477072/479167/487081/477575/475035/608380/475720/488596/403904/403924/403801/490796/489610/607720/100686903/479336/478757/403922/403547/484408/477162/477270/482873/479866/486006/609779/475456/607422/485850/100856447/487475/611103/477221/488361/478715/100688951/100856151/610499/487902/490537/607289/488032/489028/489834/490695/487403/490367/100684945/487612/100683515/610902/480144/478372/480181/481051/490570/485072/481563/474944/483245/482522/483880/485590/485180",101
